Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Area Population,More than 3 bedrooms,Price
79545.45857431678,5.682861321615587,7.009188142792237,23086.800502686456,1,1059033.5578701235
79248.64245482568,6.0028998082752425,6.730821019094919,40173.07217364482,1,1505890.91484695
61287.067178656784,5.865889840310001,8.512727430375099,36882.15939970458,1,1058987.9878760849
63345.24004622798,7.1882360945186425,5.586728664827653,34310.24283090706,1,1260616.8066294468
59982.197225708034,5.040554523106283,7.839387785120487,26354.109472103148,1,630943.4893385402
80175.7541594853,4.9884077575337145,6.104512439428879,26748.428424689715,1,1068138.0743935304
64698.46342788773,6.025335906887153,8.147759585023431,60828.24908540716,1,1502055.8173744078
78394.33927753085,6.9897797477182815,6.620477995185026,36516.35897249384,0,1573936.5644777217
59927.66081334963,5.36212556960358,6.3931209805509015,29387.39600281585,0,798869.5328331633
81885.92718409566,4.423671789897876,8.167688003472351,40149.96574921337,1,1545154.8126419624
80527.47208292288,8.09351268063935,5.042746799645982,47224.35984022191,1,1707045.722158058
50593.69549704281,4.496512793097035,7.467627404008019,34343.991885578806,1,663732.3968963273
39033.809236982364,7.671755372854428,7.250029317273495,39220.36146737246,1,1042814.0978200928
73163.6634410467,6.919534825456555,5.9931879009455695,32326.123139488096,0,1291331.5184858206
69391.3801843616,5.344776176735725,8.406417714534253,35521.294033173246,1,1402818.2101658515
73091.86674582321,5.443156466535474,8.517512711137975,23929.524053267956,1,1306674.6599511993
79706.96305765743,5.067889591058972,8.219771123286257,39717.81357630952,1,1556786.6001947748
61929.07701808926,4.788550241805888,5.0970095543775615,24595.90149782299,1,528485.2467305964
63508.19429942997,5.947165139552473,7.187773835329727,35719.653052030866,1,1019425.9367578316
62085.27640340488,5.739410843630574,7.09180810424997,44922.106702293066,1,1030591.4292116084
86294.99908871058,6.627456939781737,8.011897853150563,47560.77533629521,1,2146925.339888662
60835.08997885398,5.551221591990328,6.517175038094777,45574.74166225795,0,929247.5995364
64490.65026675507,4.210322870054841,5.478087730769143,40358.96010561757,1,718887.2315009277
60697.35153944832,6.1704840908385,7.150536572335959,28140.96708772475,1,743999.8191601974
59748.85548697423,5.3393398807459,7.7486816056065955,27809.986543758896,1,895737.1333835076
56974.47653879643,8.287562193759008,7.312879971463007,40694.86951302233,1,1453974.505950872
82173.62607584603,4.018524684942813,6.992698756791841,38853.91806648168,0,1125692.507295288
64626.88097813548,5.443359590192101,6.98875353866204,27784.74228018588,1,975429.4927929222
90499.0574513475,6.3843589207152025,4.242191301572632,33970.16499037125,1,1240763.765571478
59323.79209970036,6.9778279401788375,8.273697077776598,37520.65773244972,1,1577017.7600015546
77811.52203457447,5.31446021480662,6.686686133004718,33754.737804984616,1,1246830.1884286287
68652.60921090658,6.124342100310332,6.290820166996657,39355.625729470295,1,1170720.893654292
55041.35158333917,7.127128552732308,8.591923294114,30122.473483557947,1,1071279.210244544
50218.70846300072,6.118808130610341,7.333554072097737,16810.783311257936,1,534305.1323349292
55909.322295153535,5.419562910682705,9.28985437225882,22355.23540666912,1,936368.9634048606
74372.81020915511,5.500128572841659,6.593045603910363,39395.15118232914,0,1199193.8313295112
78667.90459764737,5.470652206754396,7.780836692853298,27637.656548218994,1,1233220.009477811
78699.51510291034,5.6527836365363004,6.756453856250772,22836.60756949132,1,1081150.1254838074
53128.18544891443,5.180664124823801,5.4269028586106165,32947.711955068946,0,524712.7660674525
17796.631189543397,4.9495570055571125,6.713905444702088,47162.18364319144,0,302355.83597895555
58566.84936342057,6.5796914528777375,5.034525351903061,39705.4649593564,0,1026817.399788458
75537.79451000034,7.8452159144441715,7.555660720822218,32778.1953418883,1,1762214.6795818857
46147.053056343386,6.623332829320711,7.606831549667412,27161.12860794621,1,882057.1705928424
70421.4764876077,6.9070829699853125,7.634318731446652,43183.92848788104,1,1744932.210990927
62614.420619127326,5.499309697116084,7.440505217892156,26888.57956293911,1,1153871.4695016337
66394.87158584829,7.069512153837191,7.204639709248285,39741.07750943353,1,1499988.8795226102
73946.85107397818,4.863154306054972,7.537182365353192,35261.12701836895,1,1109588.380162506
69144.74570743984,7.296224496862651,5.928223472951472,19030.6154867746,1,980177.3051371255
77278.69702818657,6.238891014754013,6.919204136372873,21725.95428963467,0,1323952.027425176
86754.1966286121,6.604439818568124,6.252454805349369,43017.44075715364,1,1662494.7355443896
74399.84098191423,6.382452912235433,7.252665322385219,41084.6628246322,1,1417819.740218086
49408.19834014432,5.825920475606762,5.831738972572462,26881.130597967134,1,549976.1455595789
62279.79005157392,6.108449991281682,6.306116349848911,35263.65313745236,1,1054770.980647526
73078.20408561832,5.923906389599877,6.445456690525836,54915.96178198404,1,1415647.553437237
72942.70505913401,4.786222295086708,7.319885530125552,24377.90904931656,1,948788.2757094484
63819.62285114139,5.949839470643138,8.022469239326934,27825.57206129437,1,1159596.518619623
73265.44988790638,8.314761978982546,7.4255974600340915,21030.96617717162,1,1547133.3964004477
68488.13117301985,6.116111748260705,7.182527480002909,18267.954705638844,1,1186688.505938349
55193.857453150056,7.186120666999299,5.096917456207575,32537.81876891801,1,772111.9721021007
77434.68924044503,6.309271353146576,5.219754029195479,36252.34068234427,1,1172730.155769318
66158.88158501312,4.476429066464847,6.91174261004152,37098.74217235172,0,1111085.0168910609
60502.909333844495,7.533380986145507,5.731824124869714,33579.631512167616,1,1022781.1707429125
60910.893793329706,5.635466737613911,7.325973781241172,43347.80400115452,1,1274474.5458934947
73931.97852158835,6.39410766659858,4.580839920871763,36543.067280548086,1,1213530.8498658694
59539.94845013643,6.018590243347785,7.007676165647252,58600.82714967577,1,1411730.4772588315
56547.50718740383,5.435415182555817,6.515149876905348,37585.27457622871,1,858685.5659249562
65950.34701683298,5.476513157767185,6.71784430631321,40110.84760495072,1,1200961.8209226294
74533.16208198754,6.679353130059197,5.919230725467024,49481.56580760432,1,1520234.2293774572
66422.91905176673,7.122071850326434,7.078583744940183,31019.324820690395,1,1360908.3196200058
74334.49484891063,5.419012564079195,6.261535284081697,41640.43566065672,1,1360920.5303860817
63538.34615822216,4.764499308149973,7.168662410843209,43282.18300425021,1,1146532.4547405615
83953.10483909659,7.385134534015018,6.898846568957157,37283.35764595176,1,1789098.5206914945
57279.06357585893,5.118108904793296,6.561520216102696,44023.79068493212,1,852099.4640268538
56553.5502526617,5.691129212559008,7.021252354277723,29682.409864227804,1,746096.728900488
75795.57598259096,5.786780023806823,7.327325342996355,33197.77774263014,1,1534479.906564421
70848.78865873713,5.282325020456477,6.7664446637172535,40458.73586951741,1,1215608.5310559657
59787.40450393624,5.653120315532116,6.594592279140103,32402.107549146836,1,941594.3284107696
64826.37189495595,4.010907337105416,8.290419812591507,60286.04310135768,1,1204598.0374631258
65925.8537962682,7.605511953651169,7.070409540665196,34171.360073668664,1,1597655.2584122843
64419.25263834638,6.954422125564921,8.51616004802799,39318.17075472386,1,1492011.495862129
58544.460298238766,8.562610576392464,7.276308629143928,30865.58695374529,1,1421216.5044408585
68791.79168848526,4.7255522284996285,6.704201604222819,48423.32244417688,1,1132522.9012947134
82061.56520383859,4.18282822762296,5.963031884078483,36271.408495749216,1,1102821.4381808082
80659.52544359624,5.43630620204688,7.100753431803772,52947.03636008709,1,1856211.350359604
66668.09352103536,6.184965338620103,7.863127436732537,47075.21223266851,1,1687998.9329604746
64721.56449637062,5.677637526773959,6.971331701061323,36115.81636440278,1,1063423.0072648665
65199.989940295,6.4457428983166905,6.937127028132983,28366.035431853423,1,1177289.88620479
74579.98952724633,4.639654130697788,5.521489298839982,42806.14664380127,1,1173474.3788373224
76273.67032549286,7.879751800787583,4.500165347584368,46974.57878575339,1,1637259.9986677852
67561.94206013891,5.251400747142777,7.658576338909918,35517.54187040426,1,1238938.2905319994
48904.98326931684,4.8449725308343625,5.448956029609428,32960.75307019123,1,201898.08657249613
72145.96721315151,6.398625990192602,8.258634923487291,28882.900854673742,1,1439506.1015570092
70805.61068360135,4.44372892384246,5.809147305516637,29268.826741684727,1,585608.6326222321
